Material;Layer Height (mm);Infill Pattern;Infill Density (%);Printing Speed (mm/s);Max Load (kN);Tensile Strength (MPa);Young Modulus (MPa)
Virgin;0.15;Tri-hex;60;40;2,21;42,60;1014,53
Virgin;0.3;Tri-hex;60;80;2,16;41,76;1036,88
Virgin;0.15;Grid;60;80;2,24;43,24;989,44
Virgin;0.3;Grid;100;80;3,60;55,35;1143,72
Virgin;0.3;Tri-hex;100;40;3,62;55,70;1160,47
Virgin;0.15;Tri-hex;100;80;3,81;58,63;1127,84
Virgin;0.15;Grid;100;40;3,79;58,36;1132,18
Virgin;0.3;Grid;60;40;2,16;41,76;1047,13
Recycled;0.15;Tri-hex;60;40;2,16;41,76;1047,13
Recycled;0.3;Tri-hex;60;80;2,16;41,76;1098,95
Recycled;0.3;Grid;60;40;2,15;41,54;1069,34
Recycled;0.15;Tri-hex;100;80;3,38;51,99;1058,60
Recycled;0.3;Tri-hex;100;40;3,37;51,85;1106,42
Recycled;0.15;Grid;60;80;2,05;39,59;1061,22
Recycled;0.15;Grid;100;40;3,53;54,24;1126,03
Recycled;0.3;Grid;100;80;3,49;53,66;1152,35
